QS Recursion Limit, AVG Elapsed Time
2,3592288174
4,3235034495
6,3245781513
8,3215344405
10,3205762045
12,3168446932
14,3182386410
16,3191353802
18,3196829214
20,3209079804
22,3231575226
24,3241970528
26,3270030107
28,3262735247
30,3301954858
32,3305633291
34,3348443869
36,3387017079
38,3385463870
40,3396066106
42,3427192848
44,3458005991
46,3485784397
48,3497995591
50,3517794481
52,3537388001
54,3578567148
56,3591827374
58,3635972137
60,3656443880
62,3675094325
64,3702356891
66,3719531213
68,3746551006
70,3774384451
72,3790823058
74,3845105986
76,3851128525
78,3867784162
80,3947233587
82,3928603479
84,3951485603
86,3969743515
88,4007387303
90,4038209263
92,4157780696
94,4097027229
96,4122609725
98,4147403315
100,4164206294
102,4218248582
104,4221981771
106,4248047965
108,4289059858
110,4305036243
112,4330407539
114,4371451148
116,4377494452
118,4402002602
120,4428496172
122,4458245066
124,4486717089
126,4514231104
128,4541848942
130,4569827739
132,4596060617
134,4633150876
136,4657038510
138,4683234837
140,4719555106
142,4737977853
144,4780549213
146,4777621570
148,4824463861
150,4846985452
152,5273257412
154,4897048648
156,4929434483
158,5423881490
160,5013349256
162,5011056635
164,5050179961
166,5086333545
168,5137904154
170,5125203431
172,5150569180
174,5180023959
176,5234635846
178,5249095005
180,5270142604
182,5300413596
184,5335661652
186,5350418339
188,5357645643
190,5400660877
192,5430380331
194,5461111839
196,5475560899
198,5502629048
200,5538120588
202,5562059849
204,5583099484
206,5623544338
208,5647879545
210,5690119954
212,5686614035
214,5739813657
216,5801702342
218,5789792942
220,5811609538
222,5858194692
224,5858515687
226,5895775617
228,5935904454
230,5945709250
232,5983339384
234,6001517368
236,6039649120
238,6123779645
240,6122572605
242,6118208091
244,6158956163
246,6178206075
248,6203491468
250,6232934300
252,6259493151
254,6288764036
256,6306787567
258,6345378270
260,6367054492
262,6417488888
264,6420475127
266,6464145863
268,6488092520
270,6509289596
272,6688203226
274,6666675200
276,6607978549
278,6642080010
280,6650742620
282,6665390365
284,6696890298
286,6722931176
288,6759513560
290,6791802542
292,6809780561
294,6840547338
296,6886278021
298,6911693975
300,6966947569
,
